model,tts_backend,word_count_low,word_count_high,row_count,conversion_time_s_mean,conversion_time_s_var,conversion_time_s_std,conversion_time_s_min,conversion_time_s_max,audio_duration_s_mean,audio_duration_s_var,audio_duration_s_std,audio_duration_s_min,audio_duration_s_max,real_time_factor_mean,real_time_factor_var,real_time_factor_std,real_time_factor_min,real_time_factor_max
Supertone/supertonic-3,supertonic,70,70,6,2.9153227641557655,0.23781215836496947,0.487659879798379,2.467391121201217,3.948572120629251,27.97291914621989,4.7884168941071845,2.1882451631632103,25.268192291259766,31.035171508789062,9.728246283066762,0.7576627475509241,0.870438250280239,7.859846689046481,10.404944607248403
Supertone/supertonic-3,supertonic,71,71,3,3.168505199253559,0.0532702926294802,0.2308035801920763,2.872373809106648,3.435461973771453,30.518644332885742,5.4326875112043735,2.3308126289353193,27.66993522644043,33.37919998168945,9.629829837289753,0.005155291093630409,0.0718003558043441,9.540291572828282,9.716073190891919
Supertone/supertonic-3,supertonic,72,72,3,3.101281188428402,0.056746724702214035,0.23821571044373635,2.790094112046063,3.368642520159483,29.235824584960938,4.605988660907315,2.146156718626884,27.215024948120117,32.20741271972656,9.43615120997755,0.10425994160605725,0.32289308076522366,8.99334639135455,9.754160202202819
Supertone/supertonic-3,supertonic,73,73,1,2.9402282601222396,0.0,0.0,2.9402282601222396,2.9402282601222396,27.354000091552734,0.0,0.0,27.354000091552734,27.354000091552734,9.303359355649311,0.0,0.0,9.303359355649311,9.303359355649311
Supertone/supertonic-3,supertonic,74,74,4,3.145327211357653,0.6613171156558232,0.8132140650873072,2.4970413679257035,4.521997674368322,31.151527881622314,57.95978764793904,7.613132577851186,25.705673217773438,44.246089935302734,9.946407456316404,0.16055840012903458,0.4006973922164138,9.518779295722176,10.601316452143484
Supertone/supertonic-3,supertonic,75,75,3,2.842706865631044,0.009128458639887755,0.09554296750618411,2.7642586044967175,2.977204763330519,27.014637629191082,0.9717160954250075,0.9857566106423064,25.930452346801758,28.315664291381836,9.50347598776765,0.025269264645810086,0.15896309208684287,9.305217762822522,9.694388291239004
Supertone/supertonic-3,supertonic,76,76,2,3.663016748148948,1.0329159911372234,1.016324746888131,2.646692001260817,4.679341495037079,33.52573108673096,56.28415149098964,7.502276420593262,26.023454666137695,41.02800750732422,9.300173698246393,0.2833131938993588,0.5322717293820505,8.767901968864342,9.832445427628443
Supertone/supertonic-3,supertonic,77,77,3,3.719070772950848,0.40493096624274105,0.6363418627143284,2.821961585432291,4.229210905730724,33.60040092468262,24.215718306855706,4.920946891285833,28.36182975769043,40.187255859375,9.135833414529834,0.8705917156790309,0.9330550442921527,7.8547989085460745,10.050395407259144
Supertone/supertonic-3,supertonic,78,78,4,2.7887354257982224,0.017702658151885754,0.13305133652799492,2.591952620074153,2.9220100743696094,27.470616340637207,0.746571868546198,0.8640439042931777,26.248947143554688,28.340450286865234,9.85845677161923,0.02811234167343513,0.16766735422685936,9.698957075970851,10.127093736305925
Supertone/supertonic-3,supertonic,79,79,6,3.5560325854457915,0.1696518618662554,0.4118881666985049,2.7166154934093356,4.0136588383466005,34.16905148824056,11.203094042053838,3.3471023351630342,27.39645004272461,37.09840393066406,9.651058530434016,0.3781537812572386,0.6149420958571942,8.369004334805407,10.258166667721607
Supertone/supertonic-3,supertonic,80,80,1,3.6208539102226496,0.0,0.0,3.6208539102226496,3.6208539102226496,32.53800582885742,0.0,0.0,32.53800582885742,32.53800582885742,8.986279655468516,0.0,0.0,8.986279655468516,8.986279655468516
Supertone/supertonic-3,supertonic,81,81,3,3.5303479358553886,0.4129818226962223,0.6426366179235528,2.714772840961814,4.285411573015153,34.305751164754234,29.408276580294316,5.422939846641701,27.658662796020508,40.94208526611328,9.76622023223618,0.08903696586805278,0.2983906263072833,9.553828043943753,10.188205207703989
