model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,80.0,relaxed,Relaxed (<1%),0.01,lt,2,682.6043906048708,128,0.0001544878727019929,12946.0,2.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,8.0,strict,Strict (=0),0.0,eq,1,127.99347028613037,128,0.0,23292.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,16.0,strict,Strict (=0),0.0,eq,1,127.99911204377898,128,0.0,22997.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,32.0,strict,Strict (=0),0.0,eq,1,127.99875169764688,128,0.0,22713.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,48.0,strict,Strict (=0),0.0,eq,1,127.99780444549832,128,0.0,22900.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,64.0,strict,Strict (=0),0.0,eq,1,127.99822037180701,128,0.0,23223.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99307247249004,256,0.0009386466422049663,23438.0,22.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,8.0,conservative,Conservative (<0.5%),0.005,lt,2,127.9994626290724,128,4.342728101793547e-05,23027.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98879603652105,256,0.0010592771492733358,23601.0,25.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,16.0,conservative,Conservative (<0.5%),0.005,lt,2,127.99894555433487,128,0.0,23293.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,1,255.9891877322615,256,0.0010737447923377572,23283.0,25.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,32.0,conservative,Conservative (<0.5%),0.005,lt,2,127.9979572259317,128,4.258943781942078e-05,23480.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99211960341577,256,0.0008562010360032536,23359.0,20.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,48.0,conservative,Conservative (<0.5%),0.005,lt,2,127.99945993871926,128,0.0,23295.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,1,255.99306820386352,256,0.0009848419970882932,23354.0,23.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,64.0,conservative,Conservative (<0.5%),0.005,lt,2,127.99885063711021,128,0.0,23157.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,1,255.98894157454745,256,0.0011052542084679477,23524.0,26.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,80.0,conservative,Conservative (<0.5%),0.005,lt,2,127.99805658256714,128,0.0,23564.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,1,279.4445765569743,128,5.202642942614848e-05,19221.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,8.0,conservative,Conservative (<0.5%),0.005,lt,2,265.0536727198471,256,0.00017758046614872364,22525.0,4.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,1,277.8388484285718,128,5.135315565141478e-05,19473.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,16.0,conservative,Conservative (<0.5%),0.005,lt,2,262.8923649132487,256,0.00031864530225782955,21968.0,7.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,1,278.3468037798192,128,0.0,19431.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,32.0,conservative,Conservative (<0.5%),0.005,lt,2,266.8471557576291,256,0.0005302461225752287,22631.0,12.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,1,278.6049287203685,128,5.140595280933532e-05,19453.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,48.0,conservative,Conservative (<0.5%),0.005,lt,2,266.6357347012289,256,0.00039584799437016185,22736.0,9.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,280.8862797615783,128,5.2012899199001353e-05,19226.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,2,267.1037614350417,256,0.0006309716964124752,22188.0,14.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,279.32440632829116,128,0.0002021938027599454,19783.0,4.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,2,266.31489035192664,256,8.926180487369455e-05,22406.0,2.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,8.0,relaxed,Relaxed (<1%),0.01,lt,1,255.99307247249004,256,0.0009386466422049663,23438.0,22.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,8.0,relaxed,Relaxed (<1%),0.01,lt,2,127.9994626290724,128,4.342728101793547e-05,23027.0,1.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,16.0,relaxed,Relaxed (<1%),0.01,lt,1,255.98879603652105,256,0.0010592771492733358,23601.0,25.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,16.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99894555433487,128,0.0,23293.0,0.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,32.0,relaxed,Relaxed (<1%),0.01,lt,1,255.9891877322615,256,0.0010737447923377572,23283.0,25.0,1
Qwen/Qwen3.5-35B-A3B,TTS (Kokoro-82M),baseline,Baseline,32.0,relaxed,Relaxed (<1%),0.01,lt,2,127.9979572259317,128,4.258943781942078e-05,23480.0,1.0,1
