model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,request_any_unit_missed_count,measured_request_count,unit_deadline_miss_rate,request_any_unit_miss_rate,cell_valid
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,128,80.0,922.9746328299735,9463.0,1.0,1,False,True,1,1025,0.00010567473317129874,0.000975609756097561,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,256,8.0,630.0748627102876,13136.0,5.0,1,False,True,5,1025,0.00038063337393422653,0.004878048780487805,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,256,16.0,981.8769143360926,12512.0,14.0,1,False,True,8,1025,0.001118925831202046,0.007804878048780488,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,256,32.0,989.4698809388774,12168.0,1.0,1,False,True,1,1025,8.21827744904668e-05,0.000975609756097561,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,256,48.0,988.430035059996,12115.0,1.0,1,False,True,1,1025,8.254230293025175e-05,0.000975609756097561,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,256,64.0,985.6497150619359,12443.0,5.0,1,False,True,5,1025,0.00040183235554126816,0.004878048780487805,False
Qwen/Qwen3.5-9B,TTS (Kokoro-82M),sslo,Adaptive,256,80.0,985.8998794128892,12242.0,2.0,1,False,True,2,1025,0.00016337199803953602,0.001951219512195122,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,8.0,127.99944615324144,23017.0,1.0,1,False,True,1,1025,4.344614849893557e-05,0.000975609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,16.0,127.99897738195438,23413.0,1.0,1,False,True,1,1025,4.2711314227138767e-05,0.000975609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,32.0,127.99736932546075,23111.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,48.0,127.99884011246934,23204.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,64.0,127.99956400070005,23425.0,2.0,1,False,True,2,1025,8.537886872998933e-05,0.001951219512195122,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,128,80.0,128.0,23407.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,8.0,255.9879383163334,23120.0,18.0,1,False,True,18,1025,0.0007785467128027682,0.0175609756097561,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,16.0,255.99173934537637,23363.0,13.0,1,False,True,13,1025,0.0005564353892907589,0.012682926829268294,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,32.0,255.989913908806,22999.0,12.0,1,False,True,12,1025,0.0005217618157311188,0.011707317073170732,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,48.0,255.99330157117782,23441.0,21.0,1,False,True,21,1025,0.0008958662173115481,0.02048780487804878,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,64.0,255.98778881320138,23520.0,12.0,1,False,True,12,1025,0.0005102040816326531,0.011707317073170732,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,80.0,255.99511170789074,23488.0,13.0,1,False,True,13,1025,0.0005534741144414169,0.012682926829268294,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,128,8.0,276.8771685111508,19607.0,2.0,1,False,True,2,1025,0.00010200438618860611,0.001951219512195122,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,128,16.0,278.67212313689055,19835.0,4.0,1,False,True,4,1025,0.000201663725737333,0.003902439024390244,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,128,32.0,279.08773828858494,19337.0,2.0,1,False,True,2,1025,0.00010342866008170864,0.001951219512195122,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,128,48.0,275.7151136525604,19610.0,3.0,1,False,True,3,1025,0.00015298317185109638,0.002926829268292683,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,128,64.0,279.2004046730594,19423.0,11.0,1,False,True,11,1025,0.0005663388765896103,0.010731707317073172,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,128,80.0,278.72000269740016,19368.0,10.0,1,False,True,5,1025,0.0005163155720776538,0.004878048780487805,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,256,8.0,263.7559565536821,22229.0,4.0,1,False,True,4,1025,0.00017994511673939448,0.003902439024390244,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,256,16.0,266.66084371934636,22896.0,5.0,1,False,True,5,1025,0.00021837875611460517,0.004878048780487805,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,256,32.0,267.8718993404105,22360.0,14.0,1,False,True,14,1025,0.0006261180679785331,0.013658536585365854,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,Adaptive,256,48.0,266.9730448324218,22689.0,15.0,1,False,True,15,1025,0.0006611133148221605,0.014634146341463415,False
