model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,unit_deadline_miss_rate,cell_valid
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,8.0,255.99325820240492,23222.0,17.0,1,False,True,0.0007320644216691069,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,16.0,255.99048195640512,23179.0,13.0,1,False,True,0.0005608524957936063,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,24.0,255.99452381727812,23313.0,10.0,1,False,True,0.0004289452236949342,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,32.0,255.98997727620585,23448.0,20.0,1,False,True,0.0008529512111907199,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,40.0,255.99056769115887,23299.0,14.0,1,False,True,0.0006008841581183742,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),baseline,vLLM,256,48.0,255.98836245178617,23643.0,15.0,1,False,True,0.0006344372541555641,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,8.0,277.10908155054784,19330.0,1.0,1,False,True,5.173305742369374e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,16.0,275.2800956293129,19159.0,1.0,1,False,True,5.2194790959862204e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,24.0,278.3460979538104,19356.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,32.0,278.12958659094926,19323.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,40.0,279.7205069830692,19226.0,1.0,1,False,True,5.2012899199001353e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,128,48.0,276.6627689115318,19582.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,8.0,266.0119680203266,22685.0,2.0,1,False,True,8.816398501212254e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,16.0,262.27853419104684,23315.0,1.0,1,False,True,4.289084280506112e-05,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,24.0,265.0139495734017,22927.0,3.0,1,False,True,0.00013085008941422777,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,32.0,263.1934484184054,22945.0,4.0,1,False,True,0.0001743299193724123,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,40.0,263.1048787050561,22654.0,5.0,1,False,True,0.0002207115741149466,False
Qwen/Qwen3.5-35B-A3B,TTS (Supertonic-3),sslo,ProgressServe,256,48.0,265.48811640650763,23682.0,3.0,1,False,True,0.0001266784899923993,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,8.0,127.99911828652755,22843.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,16.0,127.99772540354303,22878.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,24.0,127.99886560977176,23000.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,32.0,128.0,23140.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,40.0,127.9966698205535,23142.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,128,48.0,127.99890198102455,23298.0,0.0,1,False,True,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,8.0,255.9912107477844,22544.0,2.0,1,False,True,8.87154009936125e-05,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,16.0,255.98182586828688,23328.0,3.0,1,False,True,0.0001286008230452675,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),baseline,vLLM,256,24.0,255.99230593881484,22903.0,1.0,1,False,True,4.366240230537484e-05,False
